Event,"Date PST","Time PST","Latitude (º)","Longitude (º)","T Chla (µg/l)","Chla > 3µm (µg/l)","Chla < 3µm (%)","Chla > 3µm (%)","Sample Temp (C)","Sea Surface Temp (C)","Station Depth (m)","Sample Depth (m)",Program,"Water Collection School","Sample Analysis School","Number of Students"
389,2011-01-29,13:00:00,33.46016667,-117.73,1.45,0.89,38.4,61.6,15.4,15.56,36,10,LS,"El Vienta Fdn Elementary","Eucalyptus Elementary",44
390,2011-02-04,10:25:00,33.45633333,-117.7296667,7.43,2.45,67.04,32.96,14.9,16.11,32,10,LS,"Eucalyptus Elementary","Annaeliese Elementary",23
391,2011-02-09,10:45:00,33.46066667,-117.7198333,3.57,2.59,27.46,72.54,15,15.56,20,10,MMC,"Annaliese Elementary","Monroe Elementary",23
392,2011-02-11,13:20:00,33.46583333,-117.73,3.64,2.03,44.03,55.97,15,15.56,19,10,LS,"Monroe Elementary","Golden Hill Elementary",33
393,2011-02-16,07:50:00,33.43416667,-117.6951667,1.62,0.91,44.2,55.8,14.2,15.56,42,10,WS,"Golden Hill Elementary","King Drew Elementary",28
394,2011-02-23,13:00:00,33.45333333,-117.73,1.92,0.95,50.37,49.63,14.5,15,40,10,LS,"King-Drew High School","ASA Charter",31
395,2011-02-25,13:00:00,33.46366667,-117.723,1.24,0.65,47.13,52.87,15.6,15.56,40,10,LS,"ASA Charter","Vista Del Mar Charter",44
396,2011-03-04,12:32:00,33.42871667,-117.68965,0.56,0.42,25.32,74.68,13.6,15,40,10,LS,"Vista Del Mar Elementary","Barcelona Hills Elementary",33
397,2011-03-08,12:00:00,33.45105,-117.7236833,0.81,0.7,13.16,86.84,13.5,15.56,40,10,LS,"Barcelona Hills Elementary","Mountain View Elementary",42
398,2011-03-17,12:30:00,33.44418333,-117.7193,9.04,6.95,23.17,76.83,15.2,16.67,40,10,LS,"Mountain View Elementary","Edwin Rhodes Elementary",21
399,2011-03-17,12:00:00,33.44538333,-117.7177167,1.58,0.78,50.45,49.55,14,15.56,40,10,LS,"Edwin Rhodes Elementary","Public Other",46
400,2011-03-19,14:20:00,33.45733333,-117.734,3.01,1.96,34.7,65.3,16,15.56,40,10,MMC,"Public Other","St. Mathis High School",29
401,2011-03-23,15:00:00,33.4575,-117.734,12.1,3.72,69.28,30.72,14.5,15.56,40,10,LS,"St. Mathis High School","MacArthur Fundamental High School",34
402,2011-03-25,15:15:00,33.463,-117.7368333,3.08,1.22,60.44,39.56,15.3,16.67,39,10,LS,"McArthur Fundamental Charter","Westridge Charter",40
403,2011-03-29,10:30:00,33.43416667,-117.6991667,0.96,0.34,63.99,36.01,15.4,16.67,36,10,WS,"Westridge Elementary/Middle","Washington Charter",35
404,2011-03-31,13:30:00,33.43733333,-117.7071667,1.31,0.48,63.6,36.4,14.3,17.78,40,10,LS,"Washington Charter","Oak Middle",37
405,2011-04-04,15:00:00,33.4495,-117.7268333,1.15,0.24,79.36,20.64,15.7,17.78,42,10,LS,"Oak Middle","Haynes Middle",32
406,2011-04-07,12:50:00,33.44495,-117.7939667,2.48,1.04,58.01,41.99,16.2,16.11,38,10,LS,"Holmes Middle","Turtle Rock Middle",30
407,2011-04-14,10:40:00,33.40338333,-117.65785,6.64,5.12,22.85,77.15,17.6,18.89,48,10,MMC,"Las Palmas Elementary","Las Palmas Elementary",37
408,2011-04-18,08:30:00,33.45131667,-117.7299833,12.92,8.24,36.26,63.74,15,18.33,44,10,LS,"Vista Del Mar Middle","Laguna Nigeal Elementary",32
409,2011-04-22,10:50:00,33.43715,-117.7071833,0.71,0.53,25,75,18.8,18.33,40,10,WS,"Laguna Niguel Elementary","Laguna Niguel Elementary",28
410,2011-04-26,07:45:00,33.43715,-117.7071833,1.07,0.43,59.33,40.67,18.9,17.78,35,10,WS,"Laguna Nigeal Elementary","Olivewood Elementary",26
411,2011-04-29,11:00:00,33.45016667,-117.7265,1.16,0.81,29.61,70.39,14.2,16.67,38,10,MMC,"Olivewood Elementary","Turtle Rock Elementary",29
412,2011-05-02,13:00:00,33.45278333,-117.7306,6.17,0.5,91.94,8.06,16.6,16.67,,10,LS,"Turtle Rock Elementary","Maranatha Christian Elementary",32
413,2011-05-05,10:50:00,33.45386667,-117.7261833,4.65,3.16,32.15,67.85,16.7,20,40,10,LS,"Maranatha Christian Elementary","Holy Family Elementary",40
414,2011-05-09,12:50:00,33.44366667,-117.7175,2.18,1.09,50.05,49.95,14.6,18.33,40,10,LS,"Holy Family Elementary","Oakridge Private Elementary",31
415,2011-05-11,10:30:00,33.46033333,-117.7465,1.21,0.59,51.18,48.82,16.6,17.78,63,10,LS,"Oakridge Private Private","Oak Private",20
416,2011-05-16,15:15:00,33.43283333,-117.6921667,2.12,0.47,78.01,21.99,15.4,17.78,40,10,LS,"Oak Middle","John Adams Middle",37
417,2011-05-20,10:30:00,33.42733333,-117.6888333,0.79,0.27,66.35,33.65,16.4,18.33,46,10,LS,"John Adams Elementary","Vaughn Elementary",43
418,2011-05-23,13:10:00,33.42733333,-117.6888333,0.61,0.21,65.79,34.21,17.3,18.33,38,10,LS,"Vaughn High School","St. Edwards Elementary",32
419,2011-05-25,10:30:00,33.425,-117.697,0.47,0.14,69.86,30.14,18,18.89,40,10,MMC,"St. Edwards Elementary","Para Los Ninos Elementary",35
420,2011-06-02,11:01:00,33.42241667,-117.6824833,2.12,0.98,53.79,46.21,14.2,15.56,47,10,LS,"Para Los Ninos Charter","San Jose Edison Charter",42
421,2011-06-10,13:30:00,33.43666667,-117.703,2.5,2.42,3.33,96.67,16.8,16.67,40,10,LS,"San Jose Edison Academy","San Onofre Academy",33
422,2011-06-15,10:25:00,33.43666667,-117.703,2.16,0.47,78.14,21.86,16.7,20,40,10,MMC,"San Onofre Academy","186th Street Elementary",30
423,2011-06-17,12:55:00,33.49116667,-117.7478333,3.23,1.14,64.73,35.27,16.6,18.33,40,10,MMC,"186th Street Elementary","Oak Young Academy Elementary",37
424,2011-06-20,10:45:00,33.48498333,-117.7478333,4.43,1.69,61.86,38.14,18,20.56,35,10,MMC,"Oak Young Academy Middle","John Hopkins University Charter Middle",38
425,2011-06-27,09:05:00,33.4364,-117.7198833,1.18,0.21,82.04,17.96,15.7,20,40,10,LITA,"John Hopkins University Center Middle","Ocean Institute Other",47
426,2011-06-30,13:07:00,33.44116667,-117.72725,1.97,0.37,81.01,18.99,18,21.11,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",27
427,2011-07-06,12:45:00,33.4502,-117.7417333,2.79,0.64,77.01,22.99,17,21.11,10,10,CAMP,"Ocean Institute Other","Ocean Institute Other",35
428,2011-07-12,13:05:00,33.4525,-117.7571667,10.39,0.26,97.46,2.54,20,22.78,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",35
429,2011-07-19,12:05:00,33.4522,-117.7499833,0.63,0.15,76.5,23.5,20,22.22,50,10,CAMP,"Ocean Institute Other","Ocean Institute Other",35
430,2011-07-29,11:00:00,33.43066667,-117.7112667,0.44,0.13,69.83,30.17,20.8,20.94,40,10,CAMP,"Ocean Institute Other","El Salvador Comm Cntr Other",36
431,2011-08-04,11:10:00,33.45205,-117.7076,1.97,0.6,69.46,30.54,15.4,20.56,40,10,MMC,"El Salvador Comm Cntr Other","Ocean Institute Other",46
432,2011-08-09,09:46:00,33.4502,-117.7064,0.4,0.09,78.01,21.99,15.8,22.22,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",33
433,2011-08-14,13:40:00,33.43516667,-117.6556667,0.34,0.08,77.04,22.96,19.5,22,40,10,PUB,"Ocean Institute Other","Ocean Institute Other",48
435,2011-08-23,13:05:00,33.4215,-117.678,0.37,0.05,86.64,13.36,16,19.44,48,10,CAMP,"Ocean Institute Other"," Other",41
436,2011-08-28,13:30:00,33.43683333,-117.705,1.71,0.69,59.97,40.03,16.3,21.67,61,10,PUB,"Ocean Institute Other"," Other",37
438,2011-09-15,10:00:00,33.43516667,-117.6716667,2.81,1.14,59.35,40.65,15,20,40,10,WS,"Jasper Elementary"," Other",38
439,2011-09-19,09:30:00,33.43166667,-117.6938667,4.45,4.06,8.8,91.2,16,20,40,10,WS,"Lake View Elementary"," Other",28
440,2011-09-22,09:30:00,33.43166667,-117.6933333,3.07,1.84,40.03,59.97,16.6,20,40,10,WS,"Beaumont Elementary"," Other",28
441,2011-09-26,10:30:00,33.43266667,-117.698,2.01,1.03,48.66,51.34,16.7,18.89,40,10,WS,"Nelson Elementary"," Other",35
442,2011-09-29,13:00:00,33.43103333,-117.6944667,4.53,4.17,7.94,92.06,16.1,18.89,40,10,WS,"Aspire Elementary"," Other",25
443,2011-10-03,10:30:00,33.4295,-117.6931667,3.53,3.27,7.29,92.71,15.6,18.89,45,10,WS,"St. Callistus Elementary"," Other",34
444,2011-10-06,10:30:00,33.46666667,-117.7356667,2.47,2.44,1.3,98.7,15.3,19.44,36,10,WS,"Oceanside Christian Private"," Other",23
445,2011-10-11,10:20:00,33.46666667,-117.7356667,2.06,1.62,21.26,78.74,17,20,36,10,WS,"Tri City Christian Private"," Other",28
446,2011-10-14,12:40:00,33.46666667,-117.7366667,0.34,0.1,69.65,30.35,18.1,19.44,40,10,WS,"Harbor Day Private"," Other",21
447,2011-10-17,12:45:00,33.43516667,-117.6596667,0.41,0.18,56.43,43.57,17,19.44,40,10,WS,"Fisler Elementary"," Other",33
448,2011-10-24,12:40:00,33.4284,-117.7054833,1.42,0.57,60.02,39.98,17.4,18.89,40,10,SSC,"Anaheim Union High School"," Other",24
449,2011-10-27,12:50:00,33.42126667,-117.7045333,1.13,0.33,70.53,29.47,18,20.56,59.1,10,ECC,"Anaheim Union High School"," Other",22
450,2011-11-03,10:15:00,33.4424,-117.7396,0.27,0.04,84.99,15.01,17.2,20,59.7,10,ECC,"Savanna High School"," Other",14
451,2011-11-08,17:00:00,33.43833333,-117.7005,0.25,0.05,79.73,20.27,16.7,17.78,40,10,LITA,"St. Frances Private"," Other",50
452,2011-11-11,14:40:00,33.43361667,-117.6954667,1.1,0.33,69.6,30.4,17.2,18.89,59.4,10,SFE,"Wooden Floor Elementary"," Other",18
453,2011-11-15,14:50:00,33.44376667,-117.7181667,1.37,0.57,58.54,41.46,16,18.89,50,10,ALS,"Palomar College"," Other",39
454,2011-11-18,14:35:00,33.444,-117.7158333,1,0.52,48.47,51.53,15.2,17.78,50,10,ALS,"Palomar College"," Other",38
455,2011-11-21,13:30:00,33.45,-117.726,1.17,0.35,70.35,29.65,15.5,18.33,42,10,LS,"Viewpoint Elementary"," Other",29
456,2011-11-28,10:38:00,33.4095,-117.6971667,0.81,0.47,42.51,57.49,14.9,17.22,40,10,ECC,"Anaheim Union High School"," Other",35
457,2011-12-02,15:54:00,33.41783333,-117.6856667,2.05,1.07,47.51,52.49,16.2,16.67,59,10,AFL,"Mira Costa College"," Other",28
458,2011-12-07,11:55:00,33.43516667,-117.721,0.66,0.26,59.8,40.2,15.1,17.22,40,10,LS,"La Canada Elementary"," Other",29
459,2011-12-09,15:10:00,33.4565,-117.7356667,0.7,0.23,67.43,32.57,15,16.67,42,10,LS,"Cameron Elementary"," Other",24
460,2011-12-12,10:10:00,33.4215,-117.7091667,0.63,0.24,61.62,38.38,14.8,17.78,45.7,10,ECC,"Anaheim Union High School"," Other",19
461,2011-12-15,12:45:00,33.42495,-117.7046167,0.74,0.29,60.64,39.36,15.5,16.11,57.3,10,ECC,"Anaheim Union High School"," Other",25
462,2012-01-05,12:45:00,33.44416667,-117.7181667,0.5,0.12,75.97,24.03,14.8,16.67,33,10,LS,"Country Springs Elementary"," Other",32
463,2012-01-10,10:45:00,33.44103333,-117.7120333,1.18,0.45,61.9,38.1,15,15.56,40,10,LS,"San Onofre Elementary"," Other",44
464,2012-01-13,08:15:00,33.46928333,-117.7753667,0.29,0.11,62.22,37.78,15,15.56,40.9,10,LITA,"Serrano Elementary"," Other",45
465,2012-01-18,08:55:00,33.4425,-117.7043333,0.94,0.42,55.87,44.13,14.5,12.78,45,10,LITA,"Crescent Elementary"," Other",32
466,2012-01-23,10:10:00,33.44186667,-117.7156333,2.39,1.59,33.4,66.6,13.1,14.44,43,10,LS,"Kennedy Elementary"," Other",37
467,2012-01-26,10:45:00,33.43865,-117.709,2.81,1.83,34.66,65.34,21.5,15.56,40,10,WS,"Wagon Wheel Elementary"," Other",33
468,2012-01-30,14:50:00,33.418,-117.6998333,2.81,0.92,67.27,32.73,16.6,14.44,40,10,WS,"Wagon Wheel Elementary"," Other",33
469,2012-02-03,13:00:00,33.43366667,-117.7013333,1.36,0.84,38.23,61.77,14.8,15,40,10,LS,"Monroe Elementary"," Other",44
470,2012-02-10,11:15:00,33.43036667,-117.6836833,1.05,0.23,78.15,21.85,17.2,18.33,35,10,MMC,"Loara Elementary"," Other",30
471,2012-02-23,13:00:00,33.43878333,-117.71195,1.01,0.17,83.25,16.75,14.4,15.56,40,10,LS,"Competitive Edge Charter"," Other",50
473,2012-02-29,15:00:00,33.44283333,-117.7146667,0.78,0.17,77.71,22.29,13.4,15,35,10,LS,"Vista Del Mar Elementary"," Other",49
474,2012-03-02,12:30:00,33.45433333,-117.7291667,0.72,0.34,52.84,47.16,13.3,15.56,34,10,LS,"Vista Del Mar Elementary"," Other",45
475,2012-03-05,10:30:00,33.45188333,-117.7310167,0.63,0.18,70.58,29.42,13.5,15,40,10,MMC,"Orange Crescent Elementary"," Other",17
476,2012-03-07,10:35:00,33.44443333,-117.7062,0.27,0.17,35.81,64.19,12.2,16.67,30,10,LS,"Wonderland Ave Gifted Elementary"," Other",26
477,2012-03-09,11:45:00,33.43,-117.6933333,1.28,0.13,89.89,10.11,14.7,15.56,40,10,MMC,"Holy Family Elementary"," Other",29
478,2012-03-12,13:00:00,33.44165,-117.71565,0.82,0.57,30.79,69.21,14.8,15.56,42,10,LS,"PAAL Private"," Other",23
479,2012-03-14,10:45:00,33.44443333,-117.7061833,0.26,0.19,24.72,75.28,15,14.44,40,10,MMC,"Tarbut V Torah Private"," Other",29
480,2012-03-16,13:00:00,33.43333333,-117.6981667,0.12,0.08,28.95,71.05,14,15.56,40,10,ALS,"Pacific Academy Private"," Other",25
481,2012-03-19,12:50:00,33.43816667,-117.7026667,0.04,0.02,48.75,51.25,15.3,11.11,40,10,LS,"Oak  Middle"," Other",25
482,2012-03-21,13:30:00,33.46901667,-117.73545,0.05,0.01,72.93,27.07,14,15.56,32,10,LS,"Oak Middle"," Other",44
483,2012-03-23,08:14:00,33.4343,-117.7012333,0.03,0.02,42.97,57.03,12.8,12.78,42,10,WS,"Whittier Christian Private"," Other",52
484,2012-03-27,10:45:00,33.44166667,-117.6933333,0.18,0.07,59.92,40.08,15.3,12.22,30,10,WS,"Westridge Private"," Other",35
485,2012-03-30,09:45:00,33.43653333,-117.70565,0.13,0.12,2.53,97.47,13.2,14.44,39,10,MMC,"El Morro Elementary"," Other",42
487,2012-04-03,13:00:00,33.42916667,-117.7048333,0.06,0.04,41.35,58.65,12.4,14.44,34,10,ECC,"San Marcos Middle"," Other",35
488,2012-04-06,10:00:00,33.4423,-117.7118333,0.05,0.02,60.2,39.8,,15.56,39,10,MMC,"Hermosa Drive Elementary"," Other",36
489,2012-04-11,12:30:00,33.437,-117.7008333,0.23,0.13,43.41,56.59,15.4,,40,10,LS,"Ocean Institute Other"," Other",38
490,2012-04-16,12:50:00,33.437,-117.7008333,0.61,0.54,11.99,88.01,13.8,,41,10,LS,"Turtle Rock Elementary"," Other",32
491,2012-04-18,13:10:00,33.437,-117.7008333,0.38,0.29,23.83,76.17,13.2,,40,10,LS,"Freemont Elementary"," Other",32
492,2012-04-20,13:15:00,33.44023333,-117.69165,1.14,1.12,1.48,98.52,14.4,,36,10,LS,"Holms Middle Middle"," Other",30
493,2012-04-23,12:50:00,33.43266667,-117.6973333,0.94,0.92,2.05,97.95,13.1,16.11,40,10,LS,"Turtle Rock Elementary"," Other",30
494,2012-04-25,10:10:00,33.44683333,-117.7235,0.25,0.17,31.22,68.78,14,15.56,41,10,MMC,"Las Palmas Elementary"," Other",32
495,2012-04-27,10:05:00,33.44133333,-117.7108333,5.14,2.11,58.97,41.03,14.5,17.78,40,10,MMC,"Las Palmas Elementary"," Other",25
496,2012-04-30,10:05:00,33.436,-117.6933333,1.19,0.61,48.59,51.41,15.1,16.11,40,10,MMC,"Las Palmas Elementary"," Other",29
497,2012-05-02,12:10:00,33.47266667,-117.7446667,2.48,1.37,44.92,55.08,15,16.11,40,10,MMC,"Fruitvale Elementary"," Other",38
498,2012-05-04,09:30:00,33.44396667,-117.7188333,0.81,0.46,43.05,56.95,17.8,16.67,39,10,AFL,"Sonora High School"," Other",29
499,2012-05-07,13:05:00,33.43606667,-117.7037667,0.33,0.06,81.49,18.51,18,17.78,26,10,,"Columbus Elementary"," Other",32
500,2012-05-11,09:45:00,33.47433333,-117.756,0.3,0.06,78.82,21.18,17.8,18.89,60,10,AFL,"Mira Costa College"," Other",38
501,2012-05-11,10:45:00,33.439,-117.725,1.58,0.3,81.13,18.87,15.3,16.67,40,10,PUB,"ASA Charter"," Other",25
502,2012-05-21,10:40:00,33.43403333,-117.6928667,3.46,1.55,55.3,44.7,16.39,20,60,10,PUB,"San Juan Elementary"," Other",35
503,2012-05-23,13:00:00,33.435,-117.6986667,1.5,0.84,43.89,56.11,17.5,16.67,36.6,10,AFL,"Easter Elementary"," Other",31
504,2012-05-25,10:10:00,33.43166667,-117.6883333,0.91,0.34,62.47,37.53,17.2,18.89,40,10,LS,"Commonwealth Elementary","Temple Heights Elementary",47
505,2012-05-29,13:00:00,33.435,-117.7,2.51,1.22,51.34,48.66,19.5,,,10,LS,"Anahiem High School",,31
506,2012-05-31,13:00:00,33.43366667,-117.6966667,0.64,0.26,58.87,41.13,18.9,18.33,40,10,LS,"Anaheim High School","Chapparal High School",31
507,2012-06-01,14:45:00,33.43,-117.6983333,2.51,1.31,47.6,52.4,19.7,20.56,40,10,LS,"Chapparal High School","Valencia Park Elementary",51
508,2012-06-05,11:25:00,33.44133333,-117.7335,1.48,0.55,62.62,37.38,18.2,21.11,30,10,MMC,"Valencia Park Elementary","Valencia Park Elementary",42
509,2012-06-06,10:15:00,33.43533333,-117.6758333,1.59,0.54,66.14,33.86,17.5,18.33,40,10,MMC,"Valencia Park Elementary","Valencia Park Elementary",45
510,2012-06-08,10:30:00,33.43333333,-117.6966667,0.63,0.15,76.15,23.85,19.1,21.11,40,10,MMC,"Penito Elementary",,40
511,2012-07-17,12:15:00,33.39585,-117.7454,0.97,0.42,56.09,43.91,15.9,22.22,30,10,CAMP,"Ocean Institute Other","Ocean Institute Other",37
512,2012-07-24,09:30:00,33.44171667,-117.7033333,0.56,0.14,74.18,25.82,19.1,25.56,40,10,CAMP,"Ocean Institute Other","Ocean Institute Other",39
513,2012-07-26,10:45:00,33.48083333,-117.7886333,0.59,0.25,57.38,42.62,16.7,22.22,,10,CAMP,"Ocean Institute Other","Ocean Institute Other",35
516,2012-08-09,10:30:00,33.42926667,-117.71395,0.06,0.03,45.6,54.4,20,21.11,61,10,CAMP,"Ocean Institute Other","Ocean Institute Other",39
517,2012-08-09,13:30:00,33.4055,-117.6863333,0.15,0.07,55.11,44.89,17,21.67,,10,CAMP,"Ocean Institute Other","Ocean Institute Other",
519,2012-08-16,10:35:00,33.39005,-117.74405,0.46,0.08,82.98,17.02,15,21.11,91,10,CAMP,"Ocean Institute Other","Ocean Institute Other",34
520,2012-08-21,10:26:00,33.44673333,-117.7433333,0.09,0.02,75.4,24.6,20,22.22,,10,CAMP,"Ocean Institute Other","Ocean Institute Other",38
523,2012-08-30,10:35:00,33.44185,-117.748,0.3,0.09,69,31,20,24.44,91,10,CAMP,"Ocean Institute Other","Rolling Hills Elementary",34
524,2012-09-12,10:30:00,33.43266667,-117.699,0.31,0.14,55.75,44.25,18.8,21.11,91.4,10,WS,"Rolling Hills Elementary","Sepulveda Elementary",33
525,2012-09-14,10:22:00,33.43633333,-117.701,0.32,0.12,61.77,38.23,21,21.11,36,10,MMC,"Sepulveda Elementary","Aspire Firestone Academy",
526,2012-09-17,15:15:00,33.43166667,-117.6983333,1.27,0.48,62.36,37.64,17.8,21.67,40,10,WS,"Aspire Firestone Academy","Westpark Elementary",27
527,2012-09-19,10:20:00,33.42043333,-117.6869167,1.26,0.45,64.18,35.82,20,22.22,36,10,WS,"Westpark Elementary","Castille Elementary",23
528,2012-09-21,15:00:00,33.43166667,-117.6966667,1.68,0.62,63.01,36.99,19.7,22.22,40,10,WS,"Castille Elementary","Pegasus Elementary",32
529,2012-09-24,10:30:00,33.43465,-117.6953333,0.51,0.15,71.15,28.85,18.3,21.11,40,10,WS,"Pegasus Private","Carnelian Elementary",31
530,2012-09-27,10:30:00,33.43333333,-117.695,0.2,0.05,76.22,23.78,21.6,22.22,40,10,WS,"LA Elementary","Carnelian Elementary",31
531,2012-09-28,10:19:00,33.43416667,-117.7011667,0.22,0.05,77.14,22.86,20.4,22.22,48,10,LS,"Carnelian Elementary","McPherson Elementary",31
532,2012-10-01,13:00:00,33.431,-117.6935,0.22,0.05,78.2,21.8,20.2,22.22,38,10,WS,"McPherson Private","Grapevine Elementary",31
533,2012-10-03,10:20:00,33.43883333,-117.6976667,0.3,0.05,82.57,17.43,20,22.22,39,10,WS,"Grapevine Elementary","Brywood Elementary",26
534,2012-10-08,13:00:00,33.44816667,-117.7253333,1.29,0.52,59.98,40.02,19.3,22.22,43,10,LS,"Brywood Elementary","Landell College",39
535,2012-10-10,10:20:00,33.43476667,-117.6956833,1.14,0.44,61.68,38.32,17.3,21.67,40,10,WS,"Landell Elementary","Harbor Day Private",30
537,2012-10-16,10:30:00,33.44195,-117.7112667,0.54,0.31,43.5,56.5,18,21.11,26,10,LS,"Sepulveda Elementary","Mariposa Elementary",33
538,2012-10-17,10:30:00,33.42733333,-117.6948333,0.54,0.23,57.08,42.92,20.4,21.67,35,10,WS,"Mariposa Elementary","Mariposa Elementary",32
539,2012-10-19,10:45:00,33.43916667,-117.7095,0.39,0.17,55.56,44.44,19.2,21.11,40,10,LS,"Mariposa Elementary","Anaheim Elementary",33
540,2012-10-22,13:00:00,33.4315,-117.7078333,0.68,0.18,74.02,25.98,19.4,21.11,53,10,ECC,"Anaheim High School","Anaheim High School",27
541,2012-10-24,12:45:00,33.4305,-117.7165,0.27,0.06,75.89,24.11,20.3,21.67,40,10,ECC,"Anaheim High School","Anaheim High School",30
542,2012-10-26,10:55:00,33.43966667,-117.6861667,0.51,0.07,86.1,13.9,18.3,21.11,40,10,MMC,"Hanson Elementary","Holder Elementary",30
543,2012-10-30,12:55:00,33.43783333,-117.7078333,0.68,0.17,74.64,25.36,18.2,21.11,40,10,MMC,"Hanson Elementary","Savannah High School",30
544,2012-11-01,10:30:00,33.42916667,-117.6916667,0.37,0.13,65.36,34.64,18.2,21.11,54.9,10,ECC,"Savannah High School","Stockdale Elementary",32
545,2012-11-05,10:30:00,33.41951667,-117.6724833,0.79,0.35,55.66,44.34,18.5,20,40,10,LS,"Stockdale Elementary","Cypress High School",31
546,2012-11-12,13:05:00,33.40283333,-117.6888333,2,0.76,62.03,37.97,15.4,15,30.5,10,ECC,"Dehesa Charter","Palomar College",28
547,2012-11-14,13:10:00,33.4215,-117.6923333,3.91,1.93,50.62,49.38,15.3,17.78,40,10,ALS,"Palomar College","Palomar College",31
548,2012-11-16,12:40:00,33.43166667,-117.697,1.34,0.73,45.66,54.34,16,17.22,47,10,ALS,"Palomar College","Viewpoint Elementary",32
549,2012-11-19,13:45:00,33.40766667,-117.6853333,1.5,0.22,85.6,14.4,16.4,16.67,50,10,LS,"Viewpoint Elementary","Brywood Elementary",35
550,2012-11-26,10:30:00,33.45283333,-117.7321667,1.59,0.41,74.18,25.82,16.5,16.67,55,10,LS,"Brywood Elementary","Katella High School",35
551,2012-11-29,08:30:00,33.43466667,-117.7213333,0.45,0.06,87.5,12.5,17.5,16.67,61,10,ECC,"Katella High School","Kennedy High School",33
553,2012-12-03,10:35:00,33.43083333,-117.7083333,1.3,0.18,86.2,13.8,16.7,17.78,0,10,LS,"Anaheim Kenwood High School","La Canada High School",
554,2012-12-05,11:35:00,33.43553333,-117.70475,1.12,0.24,78.8,21.2,15.1,17.78,47.8536,10,LS,"La Canada Middle","Sonora Hill School Middle",42
555,2012-12-07,10:30:00,33.45316667,-117.7338333,0.65,0.16,75.68,24.32,17.5,18.33,12.192,10,ALS,"Sonora High School","Western High School",39
556,2012-12-10,10:30:00,33.44466667,-117.737,2.82,0.78,72.4,27.6,16,17.78,35.052,10,ECC,"Western High School","Magnolia High School",
558,2013-01-11,10:15:00,33.44483333,-117.7176667,1.41,0.71,49.48,50.52,10,12.22,34.7472,10,LS,"Country Springs Elementary","Columbia  Elementary",32
559,2013-01-28,10:30:00,33.44483333,-117.7176667,0.51,0.21,59.48,40.52,12,14.44,39.624,10,PUB,"Columbia  Elementary","Columbia Elementary",30
561,2013-01-31,11:15:00,33.445,-117.715,1.79,0.67,62.62,37.38,13.5,15.56,36.576,10,MMC,"Cerritos Elementary","Cerritos Elementary",27
562,2013-02-01,11:00:00,33.44016667,-117.6958333,1.42,0.51,64.21,35.79,14,15,30.48,10,MMC,"Cerritos Elementary","Competitive Edge  Charter",37
564,2013-02-05,09:30:00,33.42298333,-117.6786167,1.74,0.29,83.56,16.44,14,15.56,36.576,10,SFE,"Cerritos Elementary","Monroe Elementary",32
566,2013-02-13,09:30:00,33.46625,-117.72295,0.59,0.18,69.4,30.6,12.6,15.56,39.9288,10,LS,"Granite Hills  Elementary","Martin  Elementary",35
567,2013-02-15,11:00:00,33.41533333,-117.6676667,2.37,0.89,62.66,37.34,13.6,15,36.576,10,LS,"Martin Elementary","Pinon Mesa Middle",35
569,2013-02-21,12:59:00,33.432,-117.6958333,1.38,0.36,73.72,26.28,12.7,13.89,36.576,10,LS,"Saint Aloysis -","Vista Del Mar  Elementary",37
570,2013-02-22,09:30:00,33.45566667,-117.7078333,1.32,0.33,75.22,24.78,12.5,12.78,31.0896,10,AFL,"Vista Del Mar Elementary","Lincoln Elementary",45
571,2013-02-25,13:03:00,33.45083333,-117.7171667,1.04,0.23,77.56,22.44,13.2,13.33,27.59964,10,LS,"Lincoln Elementary","High Tech High Elementary",25
572,2013-02-27,09:00:00,33.42366667,-117.6915,2.04,0.68,66.71,33.29,12.9,12.78,35.3568,10,AFL,"High Tech Elementary","Orange Crest Elementary",47
573,2013-03-05,10:50:00,33.43613333,-117.69495,15.08,12.56,16.7,83.3,13.4,16.67,31.0896,10,MMC,"Orange Crest Elementary","Heritage Christian Middle",32
574,2013-03-06,15:00:00,33.43516667,-117.6995,5.07,3.04,40.08,59.92,13.6,15.56,36.576,10,AFL,"Heritage Christian Middle","Mountain View Elementary",33
575,2013-03-12,13:15:00,33.48383333,-117.7485,6.98,2.48,64.5,35.5,13.5,16.67,31.0896,10,LS,"Mountain View Elementary","Edwin Rhodes Elementary",52
576,2013-03-14,13:00:00,33.437,-117.6816667,8.71,2.21,74.64,25.36,12.7,15.56,76.2,10,LS,"Edwin Rhodes Elementary","Westbridge Magnet",52
577,2013-03-18,10:40:00,33.43926667,-117.69505,8.89,4.4,50.5,49.5,14,13.33,38.7096,10,WS,"Westridge -","Wonderland Ave. High School",23
578,2013-03-20,10:30:00,33.437,-117.7051667,5.62,3.18,43.46,56.54,13.5,15.56,36.576,10,ALS,"Wonderland Ave. Magnet","San Clemente High School",43
579,2013-03-22,14:15:00,33.442,-117.764,0.58,0.13,78.28,21.72,14.7,15.56,48.768,10,AFL,"San Clemente High School","Mac Arthur Fund. Academy",25
580,2013-03-25,13:25:00,33.46966667,-117.7438333,1.11,0.29,73.54,26.46,14.4,16.67,33.528,10,LS,"Mac Arthur Fund. -","Carden -",39
