Event,"Date PST","Time PST","Latitude (º)","Longitude (º)","T Chla (µg/l)","Chla > 3µm (µg/l)","Chla < 3µm (%)","Chla > 3µm (%)","Sample Temp (C)","Sea Surface Temp (C)","Station Depth (m)","Sample Depth (m)",Program,"Water Collection School","Sample Analysis School","Number of Students"
99,2007-02-26,10:30:00,33.435,-117.7021667,2.31,1.14,50.76,49.24,18,15.11,40,10,LS,"L.B. Johnson Elementary","Lynson Johnson Elementary",38
100,2007-03-01,09:30:00,33.45616667,-117.7326667,0.14,0.11,22.45,77.55,17,14,40,10,AFL,"Costa Mesa High School","Churchill High School",33
101,2007-03-09,12:00:00,33.444,-117.715,5.99,4.57,23.78,76.22,16,15.5,38,10,AFL,"Churchill Country High School","Kramer Middle",33
102,2007-03-09,13:30:00,33.451,-117.7306667,5.07,4.59,9.41,90.59,14,15.89,41,10,SS,,"Chino High School",12
103,2007-03-13,08:45:00,33.46833333,-117.75,1.97,1.48,25,75,13.7,15.72,56,10,AFL,"Chino High School","Canyon Springs High School",37
105,2007-03-17,08:45:00,33.45516667,-117.7298333,1.1,0.5,54.46,45.54,18,15.72,36,10,AFL,"UC Irvine College","Mountain View Elementary",34
106,2007-03-20,12:45:00,33.43383333,-117.6991667,0.92,0.41,55.45,44.55,19,16.39,40,10,LS,"Mountain View Elementary","Rancho Buena Vista Poway ",43
107,2007-03-27,08:25:00,33.443,-117.7203333,0.87,0.23,72.99,27.01,17,15.5,40,10,LS,"Rancho Buena Vista, Poway ",,
108,2007-03-28,11:30:00,33.43933333,-117.7203333,0.57,0.2,64.54,35.46,17.1,14.44,37,10,,,"Westridge ",39
109,2007-03-29,12:30:00,33.43933333,-117.7088333,0.21,0.1,52.41,47.59,15,,37,10,LS,"Westridge ","Rowland High School",
110,2007-04-02,13:00:00,33.45116667,-117.7273333,3.71,2,46.09,53.91,16,10,40,10,AFL,"Rowland High School","Davis Elementary",40
111,2007-04-05,13:00:00,33.4515,-117.7273333,1.11,0.58,48.27,51.73,16,16.11,38,10,LS,"Davis Elementary","Mt. San Antonio College",40
112,2007-04-07,13:20:00,33.4435,-117.7186667,0.11,0.06,39.73,60.27,17,16.11,40,10,AFL,"Mt. San Antonio College","James Monroe High School",36
113,2007-04-09,15:10:00,33.43466667,-117.7005,1.79,0.48,72.93,27.07,17,17.78,40,10,LSC,"James Monroe High School","UC Irvine College",40
114,2007-04-14,10:30:00,33.45533333,-117.7293333,0.86,0.64,25.2,74.8,20,15,36,10,AFL,"UC Irvine College","Mira Costa College",13
115,2007-04-16,14:00:00,33.46366667,-117.7408333,0.59,0.51,13.37,86.63,18,15.56,40,10,AFL,"Mira Costa College","Mira Costa College",22
116,2007-04-17,12:30:00,33.4815,-117.7511667,0.42,0.34,21.01,78.99,12,,46,10,AFL,"Mira Costa College","Mira Costa College",
117,2007-04-20,13:00:00,33.434,-117.7,6.13,4.91,19.83,80.17,14,15.44,40,10,AFL,"Mira Costa College","New Vision Charter",15
120,2007-04-28,11:00:00,33.42883333,-117.8015,1.26,1.02,18.77,81.23,16,17.72,42,10,AFL,"Palomar College","Frank Wright Middle",31
122,2007-05-05,08:30:00,33.44983333,-117.7206667,0.59,0.34,41.78,58.22,15,13.89,28,10,LS,"Oak Ridge Elementary","Sonore High School",
123,2007-05-10,10:20:00,33.44483333,-117.7206667,0.43,0.25,41.65,58.35,14,16.22,40,10,LS,"Sonora High School","Los Robles Academy",37
