latitude,longitude,chlorophyll
54.1875,7.854172,4.431355
54.1875,7.854172,4.417277
54.1875,7.854172,4.4156876
54.1875,7.854172,4.404724
54.1875,7.854172,4.384233
54.1875,7.854172,4.3496265
54.1875,7.854172,4.328971
54.1875,7.854172,4.320036
54.1875,7.854172,4.3174386
54.1875,7.854172,4.3170147
54.1875,7.854172,4.311675
54.1875,7.854172,4.3033857
54.1875,7.854172,4.291489
54.1875,7.854172,4.2914047
54.1875,7.854172,4.2889175
54.1875,7.854172,4.2269397
54.1875,7.854172,4.223956
54.1875,7.854172,4.189366
54.1875,7.854172,4.145711
54.1875,7.854172,4.122713
54.1875,7.854172,4.115861
54.1875,7.854172,4.1144304
54.1875,7.854172,4.111097
54.1875,7.854172,4.103976
54.1875,7.854172,4.082239
54.1875,7.854172,4.047415
54.1875,7.854172,4.042767
54.1875,7.854172,4.026942
54.1875,7.854172,4.026752
54.1875,7.854172,4.015544
54.1875,7.854172,3.9930558
54.1875,7.854172,3.978727
54.1875,7.854172,3.9598303
54.1875,7.854172,3.9062266
54.1875,7.854172,3.904227
54.1875,7.854172,3.902599
54.1875,7.854172,3.86579
54.1875,7.854172,3.857961
54.1875,7.854172,3.855913
54.1875,7.854172,3.8433404
54.1875,7.854172,3.842551
54.1875,7.854172,3.834706
54.1875,7.854172,3.827028
54.1875,7.854172,3.821798
54.1875,7.854172,3.8050425
54.1875,7.854172,3.793921
54.1875,7.854172,3.787647
54.1875,7.854172,3.781018
54.1875,7.854172,3.773013
54.1875,7.854172,3.7629805
54.1875,7.854172,3.755952
54.1875,7.854172,3.732004
54.1875,7.854172,3.7212758
54.1875,7.854172,3.699574
54.1875,7.854172,3.6712031
54.1875,7.854172,3.667941
54.1875,7.854172,3.667552
54.1875,7.854172,3.667278
54.1875,7.854172,3.646671
54.1875,7.854172,3.6410866
54.1875,7.854172,3.634661
54.1875,7.854172,3.6241007
54.1875,7.854172,3.6181004
54.1875,7.854172,3.6115985
54.1875,7.854172,3.607288
54.1875,7.854172,3.5973132
54.1875,7.854172,3.592021
54.1875,7.854172,3.585706
54.1875,7.854172,3.5729663
54.1875,7.854172,3.568583
54.1875,7.854172,3.564522
54.1875,7.854172,3.5577717
54.1875,7.854172,3.5559735
54.1875,7.854172,3.5542343
54.1875,7.854172,3.55405
54.1875,7.854172,3.549245
54.1875,7.854172,3.548017
54.1875,7.854172,3.542723
54.1875,7.854172,3.521623
54.1875,7.854172,3.521199
54.1875,7.854172,3.5200589
54.1875,7.854172,3.5076387
54.1875,7.854172,3.507088
54.1875,7.854172,3.5065653
54.1875,7.854172,3.4856222
54.1875,7.854172,3.479869
54.1875,7.854172,3.4783306
54.1875,7.854172,3.472015
54.1875,7.854172,3.4688
54.1875,7.854172,3.456942
54.1875,7.854172,3.448337
54.1875,7.854172,3.429403
54.1875,7.854172,3.428999
54.1875,7.854172,3.427368
54.1875,7.854172,3.421216
54.1875,7.854172,3.4207525
54.1875,7.854172,3.419999
54.1875,7.854172,3.41784
54.1875,7.854172,3.4044852
54.1875,7.854172,3.401055
54.1875,7.854172,3.368356
54.1875,7.854172,3.366248
54.1875,7.854172,3.3629565
54.1875,7.854172,3.36149
54.1875,7.854172,3.360888
54.1875,7.854172,3.3452249
54.1875,7.854172,3.3443696
54.1875,7.854172,3.336332
54.1875,7.854172,3.335744
54.1875,7.854172,3.319579
54.1875,7.854172,3.303732
54.1875,7.854172,3.2987287
54.1875,7.854172,3.276981
54.1875,7.854172,3.276644
54.1875,7.854172,3.260074
54.1875,7.854172,3.255733
54.1875,7.854172,3.255181
54.1875,7.854172,3.253264
54.1875,7.854172,3.2523637
54.1875,7.854172,3.2368195
54.1875,7.854172,3.234162
54.1875,7.854172,3.2187452
54.1875,7.854172,3.217111
54.1875,7.854172,3.2168386
54.1875,7.854172,3.200823
54.1875,7.854172,3.187747
54.1875,7.854172,3.1784534
54.1875,7.854172,3.1763453
54.1875,7.854172,3.1748478
54.1875,7.854172,3.167162
54.1875,7.854172,3.1450062
54.1875,7.854172,3.142039
54.1875,7.854172,3.141966
54.1875,7.854172,3.135331
54.1875,7.854172,3.12853
54.1875,7.854172,3.127513
54.1875,7.854172,3.1143658
