Column2,Column3,Column4,Column5,Column6,chla
2014,5,16,36.8594,-0.1094,0.012303
2014,5,16,36.5677,-0.2865,0.012303
2014,5,16,36.5677,0.2135,0.012303
2014,5,16,36.4323,-0.0781,0.012303
2014,5,16,36.2969,0.0573,0.012303
2014,5,16,36.2135,0.0052,0.012303
2014,5,16,36.2031,-0.1823,0.012303
2014,5,25,37.1615,0.9635,0.012303
2014,5,25,36.1198,-0.4427,0.012303
2014,5,26,36.5885,0.974,0.012303
2014,5,26,36.5781,0.9323,0.012303
2014,5,26,36.5052,0.8385,0.012303
2014,5,7,36.401,-0.8073,0.012735
2014,5,9,36.4115,0.599,0.012735
2014,5,16,36.5677,0.2448,0.012735
2014,5,16,36.3906,-0.2135,0.012735
2014,5,16,36.3281,0.1302,0.012735
2014,5,16,36.3177,0.0365,0.012735
2014,5,16,36.276,-0.3594,0.012735
2014,5,16,36.276,0.0052,0.012735
2014,5,25,37.1615,0.5365,0.012735
2014,5,25,37.151,0.6094,0.012735
2014,5,25,36.9219,0.3281,0.012735
2014,5,25,36.7865,0.5781,0.012735
2014,5,26,36.4323,0.7865,0.012735
2014,5,26,36.4115,0.5781,0.012735
2014,5,26,36.2135,0.2552,0.012735
2014,5,16,36.5781,0.0677,0.013183
2014,5,16,36.5677,0.2552,0.013183
2014,5,16,36.5469,-0.4844,0.013183
2014,5,16,36.5469,0.1927,0.013183
2014,5,16,36.526,0.1198,0.013183
2014,5,16,36.4427,-0.6406,0.013183
2014,5,16,36.3906,0.0156,0.013183
2014,5,16,36.3802,0.0156,0.013183
2014,5,25,37.1198,0.6719,0.013183
2014,5,25,36.8594,0.099,0.013183
2014,5,25,35.8802,-0.2135,0.013183
2014,5,26,36.401,0.6094,0.013183
2014,5,16,36.5365,-0.0469,0.013646
2014,5,16,36.3385,-0.0052,0.013646
2014,5,16,36.2969,0.0469,0.013646
2014,5,16,36.2865,0.0365,0.013646
2014,5,16,36.224,-0.026,0.013646
2014,5,16,36.1302,0.0781,0.013646
2014,5,16,36.1094,-0.5573,0.013646
2014,5,16,35.9219,-0.1719,0.013646
