year1,m1,d1,average
2021,6,22,NaN
2021,6,23,NaN
2021,6,24,NaN
2021,6,25,NaN
2021,6,26,NaN
2021,6,27,4.217
2021,6,28,5.37
2021,6,29,NaN
2021,6,30,NaN
2021,7,1,NaN
2021,7,2,NaN
2021,7,3,NaN
2021,7,4,NaN
2021,7,5,NaN
2021,7,6,NaN
2021,7,7,NaN
2021,7,8,3.802
2021,7,9,NaN
2021,7,10,NaN
2021,7,11,3.09
2021,7,12,NaN
2021,7,13,NaN
2021,7,14,NaN
2021,7,15,NaN
2021,7,16,3.311
2021,7,17,9.661
2021,7,18,NaN
2021,7,19,NaN
2021,7,20,NaN
2021,7,21,NaN
2021,7,22,NaN
2021,7,23,NaN
2021,7,24,NaN
2021,7,25,NaN
2021,7,26,NaN
2021,7,27,NaN
2021,7,28,1.396
2021,7,29,NaN
2021,7,30,3.548
2021,7,31,NaN
2021,8,1,NaN
2021,8,2,NaN
2021,8,3,4.365
2021,8,4,9.661
2021,8,5,NaN
2021,8,6,NaN
2021,8,7,12.735
2021,8,8,NaN
2021,8,9,NaN
2021,8,10,9.661
2021,8,11,23.714
2021,8,12,NaN
2021,8,13,NaN
2021,8,14,NaN
2021,8,15,NaN
2021,8,16,NaN
2021,8,17,NaN
2021,8,18,NaN
2021,8,19,NaN
2021,8,20,NaN
2021,8,21,NaN
2021,8,22,NaN
2021,8,23,NaN
2021,8,24,NaN
2021,8,25,NaN
2021,8,26,NaN
2021,8,27,NaN
2021,8,28,NaN
2021,8,29,NaN
2021,8,30,3.936
2021,8,31,NaN
2021,9,1,NaN
2021,9,2,NaN
2021,9,3,NaN
2021,9,4,2.427
2021,9,5,6.166
2021,9,6,NaN
2021,9,7,NaN
2021,9,8,NaN
2021,9,9,4.842
2021,9,10,NaN
2021,9,11,NaN
2021,9,12,NaN
2021,9,13,NaN
2021,9,14,8.414
2021,9,15,NaN
2021,9,16,NaN
2021,9,17,NaN
2021,9,18,NaN
2021,9,19,NaN
2021,9,20,NaN
2021,9,21,NaN
2021,9,22,NaN
2021,9,23,NaN
2021,9,24,NaN
2021,9,25,NaN
2021,9,26,NaN
2021,9,27,NaN
2021,9,28,3.936
2021,9,29,NaN
2021,9,30,NaN
2021,10,1,NaN
2021,10,2,NaN
2021,10,3,NaN
2021,10,4,3.199
2021,10,5,NaN
2021,10,6,NaN
2021,10,7,NaN
2021,10,8,3.199
2021,10,9,2.786
2021,10,10,3.936
2021,10,11,NaN
2021,10,12,NaN
2021,10,13,NaN
2021,10,14,NaN
2021,10,15,NaN
2021,10,16,NaN
2021,10,17,NaN
2021,10,18,NaN
2021,10,19,NaN
2021,10,20,NaN
2021,10,21,NaN
2021,10,22,NaN
2021,10,23,NaN
2021,10,24,4.074
2021,10,25,NaN
2021,10,26,NaN
2021,10,27,NaN
2021,10,28,NaN
2021,10,29,NaN
2021,10,30,NaN
2021,10,31,NaN
2021,11,1,NaN
2021,11,2,NaN
2021,11,3,NaN
2021,11,4,NaN
2021,11,5,NaN
2021,11,6,NaN
2021,11,7,NaN
2021,11,8,NaN
2021,11,9,NaN
2021,11,10,NaN
2021,11,11,NaN
2021,11,12,NaN
2021,11,13,NaN
2021,11,14,NaN
2021,11,15,NaN
2021,11,16,NaN
2021,11,17,NaN
2021,11,18,NaN
2021,11,19,NaN
2021,11,20,NaN
2021,11,21,NaN
