yyyy, mm, dd,lat,lon,chla
2014,8,1,36.6406,-0.8698,0.116145
2014,8,1,36.6406,-0.8594,0.112202
2014,8,1,36.6406,-0.849,0.112202
2014,8,1,36.6406,-0.8385,0.116145
2014,8,1,36.6406,-0.8281,0.116145
2014,8,1,36.6406,-0.8177,0.116145
2014,8,1,36.6406,-0.8073,0.116145
2014,8,1,36.6406,-0.7969,0.116145
2014,8,1,36.6406,-0.7865,0.120226
2014,8,1,36.6406,-0.776,0.120226
2014,8,1,36.6406,-0.7656,0.120226
2014,8,1,36.6406,-0.7552,0.120226
2014,8,1,36.6406,-0.7448,0.120226
2014,8,1,36.6406,-0.7344,0.120226
2014,8,1,36.6406,-0.724,0.120226
2014,8,1,36.6406,-0.7135,0.124451
2014,8,1,36.6406,-0.7031,0.120226
2014,8,1,36.6406,-0.6927,0.124451
2014,8,1,36.6406,-0.6823,0.124451
2014,8,1,36.6406,-0.6719,0.124451
2014,8,1,36.6302,-0.8906,0.112202
2014,8,1,36.6302,-0.8802,0.116145
2014,8,1,36.6302,-0.8698,0.116145
2014,8,1,36.6302,-0.8594,0.116145
2014,8,1,36.6302,-0.849,0.116145
2014,8,1,36.6302,-0.8385,0.116145
2014,8,1,36.6302,-0.8281,0.116145
2014,8,1,36.6302,-0.8177,0.120226
2014,8,1,36.6302,-0.8073,0.120226
2014,8,1,36.6302,-0.7969,0.116145
2014,8,1,36.6302,-0.7865,0.120226
2014,8,1,36.6302,-0.776,0.120226
2014,8,1,36.6302,-0.7656,0.120226
2014,8,1,36.6302,-0.7552,0.116145
2014,8,1,36.6302,-0.7448,0.120226
2014,8,1,36.6302,-0.7344,0.124451
2014,8,1,36.6302,-0.724,0.124451
2014,8,1,36.6302,-0.7135,0.124451
2014,8,1,36.6302,-0.7031,0.124451
2014,8,1,36.6302,-0.6927,0.124451
2014,8,1,36.6302,-0.6823,0.124451
2014,8,1,36.6302,-0.6719,0.124451
2014,8,1,36.6198,-0.9219,0.112202
