yyyy, mm, dd,lat,lon,chla
2014,9,8,36.3698,0.5885,0.013646
2014,9,15,37.1719,0.4219,0.013646
2014,9,22,35.8281,-0.526,0.013646
2014,9,3,35.8594,-0.8281,0.014125
2014,9,3,36.1406,-0.5052,0.014125
2014,9,3,36.1302,-0.5052,0.014125
2014,9,3,35.974,-0.3698,0.014125
2014,9,3,35.9427,-0.0573,0.014125
2014,9,15,36.1927,-0.4844,0.014125
2014,9,15,36.0156,-0.2344,0.014125
2014,9,17,37.0781,0.401,0.014125
2014,9,24,36.0052,-0.4115,0.014125
2014,9,2,35.9531,-0.0365,0.014622
2014,9,3,36.6094,0.1198,0.014622
2014,9,5,35.7656,-0.6198,0.014622
2014,9,24,36.9115,0.1198,0.014622
2014,9,24,36.3698,0.3177,0.014622
2014,9,2,36.1406,-0.2865,0.015136
2014,9,17,36.4844,-0.5781,0.015136
2014,9,24,36.9531,0.1615,0.015136
2014,9,26,36.6615,0.474,0.015136
2014,9,7,36.3802,0.3802,0.015668
2014,9,8,36.1198,-0.6823,0.015668
2014,9,8,36.1094,-0.7344,0.015668
2014,9,8,36.3594,0.5781,0.015668
2014,9,24,37.0052,0.026,0.015668
2014,9,24,36.026,-0.3073,0.015668
2014,9,3,36.1302,-0.5781,0.016218
2014,9,5,36.9844,0.6615,0.016218
2014,9,8,36.1094,-0.8073,0.016218
2014,9,17,36.6823,-0.6406,0.016218
2014,9,21,36.3385,-0.0365,0.016218
2014,9,24,35.9323,0.0365,0.016218
2014,9,3,36.0885,-0.6719,0.016788
2014,9,3,36.0677,-0.8073,0.016788
2014,9,3,35.9427,-0.1302,0.016788
2014,9,3,35.8594,-0.6302,0.016788
2014,9,7,37.1927,0.7656,0.016788
2014,9,8,35.9948,-0.9948,0.016788
2014,9,8,36.7448,0.9635,0.016788
2014,9,8,36.4635,0.776,0.016788
2014,9,8,36.4531,0.7656,0.016788
2014,9,11,35.9635,0.0052,0.016788
2014,9,11,35.9531,0.0052,0.016788
2014,9,11,35.9427,-0.0156,0.016788
2014,9,15,36.5573,0.8594,0.016788
2014,9,15,36.3802,0.349,0.016788
2014,9,15,36.1719,0.1406,0.016788
2014,9,15,36.1302,0.1406,0.016788
2014,9,17,36.4844,-0.724,0.016788
2014,9,17,36.6927,-0.1198,0.016788
2014,9,24,36.2969,-0.776,0.016788
2014,9,24,37.224,0.7656,0.016788
2014,9,26,35.8802,-0.0885,0.016788
2014,9,28,36.9844,0.2865,0.016788
2014,9,28,36.7865,-0.4115,0.016788
2014,9,3,36.2656,-0.9844,0.017378
2014,9,3,36.0677,-0.7969,0.017378
2014,9,3,35.8698,-0.6823,0.017378
2014,9,3,35.9948,-0.3594,0.017378
2014,9,3,35.9844,-0.401,0.017378
2014,9,5,35.776,-0.5885,0.017378
2014,9,5,35.7552,-0.6302,0.017378
2014,9,5,35.7552,-0.6094,0.017378
2014,9,8,36.4115,0.4948,0.017378
2014,9,11,35.9531,0.0156,0.017378
2014,9,15,36.651,0.9948,0.017378
2014,9,15,36.5885,0.9427,0.017378
2014,9,15,36.5677,0.7656,0.017378
2014,9,15,36.3281,0.3385,0.017378
2014,9,17,37.3385,0.8281,0.017378
2014,9,17,37.0156,0.349,0.017378
2014,9,17,36.9219,0.3802,0.017378
2014,9,17,36.901,0.3698,0.017378
2014,9,24,36.9115,0.099,0.017378
2014,9,24,36.401,0.526,0.017378
2014,9,26,35.8906,-0.9948,0.017378
2014,9,3,36.0781,-0.8073,0.017989
2014,9,3,36.0573,-0.7969,0.017989
2014,9,3,36.0469,-0.474,0.017989
2014,9,3,35.9427,-0.4635,0.017989
2014,9,5,35.7865,-0.5885,0.017989
2014,9,5,35.7656,-0.6406,0.017989
2014,9,7,36.849,0.5365,0.017989
2014,9,8,35.9948,-0.974,0.017989
2014,9,8,36.474,0.6823,0.017989
2014,9,14,35.8385,-0.5469,0.017989
2014,9,15,36.8385,-0.1823,0.017989
2014,9,17,37.0781,0.4531,0.017989
2014,9,17,36.8906,0.2552,0.017989
2014,9,17,36.4323,0.1823,0.017989
2014,9,3,35.8698,-0.7656,0.018621
2014,9,3,36.0677,-0.3802,0.018621
2014,9,3,35.974,-0.401,0.018621
2014,9,3,35.9635,-0.4531,0.018621
2014,9,3,35.9635,-0.2031,0.018621
2014,9,3,35.9219,-0.4948,0.018621
2014,9,5,35.776,-0.6302,0.018621
2014,9,8,36.4427,-0.8177,0.018621
2014,9,8,36.6406,0.7969,0.018621
2014,9,8,36.474,0.6927,0.018621
2014,9,8,36.4531,0.6823,0.018621
2014,9,8,36.3698,0.5677,0.018621
2014,9,8,36.3698,0.5781,0.018621
2014,9,8,36.349,0.5885,0.018621
2014,9,8,36.1198,0.1198,0.018621
2014,9,8,36.0781,-0.474,0.018621
2014,9,14,35.9844,-0.151,0.018621
2014,9,14,35.8281,-0.5469,0.018621
2014,9,17,36.9427,0.3906,0.018621
2014,9,17,36.901,0.401,0.018621
2014,9,24,36.4219,0.5573,0.018621
2014,9,2,36.099,-0.1406,0.019275
2014,9,3,36.0573,-0.8073,0.019275
2014,9,3,35.849,-0.9115,0.019275
2014,9,3,35.9427,-0.2031,0.019275
2014,9,3,35.9427,-0.1615,0.019275
2014,9,3,35.8802,-0.5885,0.019275
2014,9,3,35.8594,-0.651,0.019275
2014,9,3,35.8594,-0.6198,0.019275
2014,9,8,36.151,-0.724,0.019275
2014,9,8,36.099,-0.7031,0.019275
2014,9,8,36.4323,0.5885,0.019275
2014,9,14,35.9531,-0.2344,0.019275
2014,9,14,35.9427,-0.2448,0.019275
