Column2,Column3,Column4,Column5,Column6,Column7
2014,4,30,36.1823,-0.1615,0.018620999999999999
2014,4,14,36.3385,0.4323,0.019275
2014,4,16,35.7135,-0.974,0.019275
2014,4,16,35.9115,-0.4844,0.019275
2014,4,30,36.8594,-0.276,0.019275
2014,4,30,36.776,0.2344,0.019275
2014,4,30,36.6823,-0.4531,0.019275
2014,4,30,36.6406,-0.3802,0.019275
2014,4,30,36.6094,-0.3073,0.019275
2014,4,30,36.8594,-0.276,0.019275
2014,4,30,36.776,0.2344,0.019275
2014,4,30,36.6823,-0.4531,0.019275
2014,4,30,36.6406,-0.3802,0.019275
2014,4,30,36.6094,-0.3073,0.019275
2014,4,14,36.5573,0.724,0.019952999999999999
2014,4,16,36.026,-0.3177,0.019952999999999999
2014,4,16,35.9531,-0.3802,0.019952999999999999
2014,4,23,37.3281,0.8594,0.019952999999999999
2014,4,30,36.8594,0.8073,0.019952999999999999
2014,4,30,36.8073,0.724,0.019952999999999999
2014,4,30,36.6927,-0.4635,0.019952999999999999
2014,4,30,36.6615,-0.2448,0.019952999999999999
2014,4,30,36.6406,-0.0469,0.019952999999999999
2014,4,30,36.6094,-0.3177,0.019952999999999999
2014,4,30,36.5469,-0.3385,0.019952999999999999
2014,4,30,36.3698,-0.1927,0.019952999999999999
2014,4,30,36.8594,0.8073,0.019952999999999999
2014,4,30,36.8073,0.724,0.019952999999999999
2014,4,30,36.6927,-0.4635,0.019952999999999999
2014,4,30,36.6615,-0.2448,0.019952999999999999
2014,4,30,36.6406,-0.0469,0.019952999999999999
2014,4,30,36.6094,-0.3177,0.019952999999999999
2014,4,30,36.5469,-0.3385,0.019952999999999999
2014,4,30,36.3698,-0.1927,0.019952999999999999
2014,4,30,36.9427,0.5677,0.020653999999999999
2014,4,30,36.9323,0.526,0.020653999999999999
2014,4,30,36.8594,-0.2865,0.020653999999999999
2014,4,30,36.7448,-0.3594,0.020653999999999999
2014,4,30,36.6094,0.151,0.020653999999999999
2014,4,30,36.1823,-0.1406,0.020653999999999999
2014,4,30,35.9635,-0.3385,0.020653999999999999
2014,4,30,35.9531,-0.349,0.020653999999999999
2014,4,30,36.9427,0.5677,0.020653999999999999
2014,4,30,36.9323,0.526,0.020653999999999999
2014,4,30,36.8594,-0.2865,0.020653999999999999
2014,4,30,36.7448,-0.3594,0.020653999999999999
2014,4,30,36.6094,0.151,0.020653999999999999
2014,4,30,36.1823,-0.1406,0.020653999999999999
2014,4,30,35.9635,-0.3385,0.020653999999999999
2014,4,30,35.9531,-0.349,0.020653999999999999
2014,4,16,36.0885,0.1406,0.02138
2014,4,16,35.9948,-0.4115,0.02138
2014,4,23,36.1927,0.151,0.02138
2014,4,30,36.7969,-0.1927,0.02138
2014,4,30,36.7656,-0.2865,0.02138
2014,4,30,36.7552,-0.3802,0.02138
2014,4,30,36.7135,0.4323,0.02138
2014,4,30,36.5677,-0.2552,0.02138
2014,4,30,36.7969,-0.1927,0.02138
2014,4,30,36.7656,-0.2865,0.02138
2014,4,30,36.7552,-0.3802,0.02138
2014,4,30,36.7135,0.4323,0.02138
2014,4,30,36.5677,-0.2552,0.02138
2014,4,13,35.7448,-0.651,0.022131000000000001
2014,4,30,36.8698,0.724,0.022131000000000001
2014,4,30,36.8177,0.3594,0.022131000000000001
2014,4,30,36.7656,-0.4531,0.022131000000000001
2014,4,30,36.7656,-0.401,0.022131000000000001
2014,4,30,36.7031,-0.151,0.022131000000000001
2014,4,30,36.6719,-0.2031,0.022131000000000001
2014,4,30,36.6406,-0.3594,0.022131000000000001
2014,4,30,36.5885,-0.3802,0.022131000000000001
2014,4,30,36.5573,0.5365,0.022131000000000001
2014,4,30,36.5365,-0.3385,0.022131000000000001
2014,4,30,36.2448,-0.224,0.022131000000000001
2014,4,30,36.8698,0.724,0.022131000000000001
2014,4,30,36.8177,0.3594,0.022131000000000001
2014,4,30,36.7656,-0.4531,0.022131000000000001
2014,4,30,36.7656,-0.401,0.022131000000000001
2014,4,30,36.7031,-0.151,0.022131000000000001
2014,4,30,36.6719,-0.2031,0.022131000000000001
2014,4,30,36.6406,-0.3594,0.022131000000000001
2014,4,30,36.5885,-0.3802,0.022131000000000001
2014,4,30,36.5573,0.5365,0.022131000000000001
2014,4,30,36.5365,-0.3385,0.022131000000000001
2014,4,30,36.2448,-0.224,0.022131000000000001
2014,4,16,36.0052,-0.4115,0.022908999999999999
2014,4,30,36.9531,0.5156,0.022908999999999999
2014,4,30,36.8906,0.651,0.022908999999999999
2014,4,30,36.8177,-0.3073,0.022908999999999999
2014,4,30,36.7969,-0.2031,0.022908999999999999
2014,4,30,36.7448,0.2969,0.022908999999999999
2014,4,30,36.526,-0.3073,0.022908999999999999
2014,4,30,36.4531,0.1927,0.022908999999999999
2014,4,30,36.2031,-0.1406,0.022908999999999999
2014,4,30,36.9531,0.5156,0.022908999999999999
2014,4,30,36.8906,0.651,0.022908999999999999
2014,4,30,36.8177,-0.3073,0.022908999999999999
2014,4,30,36.7969,-0.2031,0.022908999999999999
2014,4,30,36.7448,0.2969,0.022908999999999999
2014,4,30,36.526,-0.3073,0.022908999999999999
2014,4,30,36.4531,0.1927,0.022908999999999999
2014,4,30,36.2031,-0.1406,0.022908999999999999
2014,4,12,35.9323,-0.3802,0.023713999999999999
2014,4,14,36.3073,0.3906,0.023713999999999999
2014,4,16,35.9427,-0.3177,0.023713999999999999
2014,4,30,36.7448,-0.3906,0.023713999999999999
2014,4,30,36.7344,0.276,0.023713999999999999
2014,4,30,36.6927,-0.474,0.023713999999999999
2014,4,30,36.6927,-0.4219,0.023713999999999999
2014,4,30,36.6719,-0.224,0.023713999999999999
2014,4,30,36.6094,-0.4219,0.023713999999999999
2014,4,30,36.6094,0.526,0.023713999999999999
2014,4,30,36.3906,-0.2031,0.023713999999999999
2014,4,30,36.7448,-0.3906,0.023713999999999999
2014,4,30,36.7344,0.276,0.023713999999999999
2014,4,30,36.6927,-0.474,0.023713999999999999
2014,4,30,36.6927,-0.4219,0.023713999999999999
2014,4,30,36.6719,-0.224,0.023713999999999999
2014,4,30,36.6094,-0.4219,0.023713999999999999
2014,4,30,36.6094,0.526,0.023713999999999999
2014,4,30,36.3906,-0.2031,0.023713999999999999
2014,4,14,35.9948,-0.5677,0.024546999999999999
2014,4,16,36.0365,0.0469,0.024546999999999999
2014,4,16,35.9531,-0.2865,0.024546999999999999
2014,4,16,35.901,-0.5677,0.024546999999999999
2014,4,23,36.5781,0.151,0.024546999999999999
2014,4,30,36.9948,0.6823,0.024546999999999999
2014,4,30,36.8698,-0.2552,0.024546999999999999
2014,4,30,36.776,-0.276,0.024546999999999999
2014,4,30,36.7031,-0.0365,0.024546999999999999
2014,4,30,36.5885,0.8802,0.024546999999999999
2014,4,30,36.3802,-0.1823,0.024546999999999999
2014,4,30,35.974,-0.3177,0.024546999999999999
2014,4,30,36.9948,0.6823,0.024546999999999999
2014,4,30,36.8698,-0.2552,0.024546999999999999
2014,4,30,36.776,-0.276,0.024546999999999999
2014,4,30,36.7031,-0.0365,0.024546999999999999
2014,4,30,36.5885,0.8802,0.024546999999999999
2014,4,30,36.3802,-0.1823,0.024546999999999999
2014,4,30,35.974,-0.3177,0.024546999999999999
2014,4,16,35.9531,-0.3073,0.025409999999999999
2014,4,23,36.5156,0.2552,0.025409999999999999
2014,4,30,37.1719,0.9948,0.025409999999999999
2014,4,30,36.9948,0.6927,0.025409999999999999
2014,4,30,36.8802,-0.2448,0.025409999999999999
